id	displayName	reasonAdvertisement	reasonBilk	reasonSpam
elsword		TRUE	FALSE	FALSE
encourage		TRUE	FALSE	FALSE
enecoo		TRUE	FALSE	FALSE
entertainmentweekly		TRUE	FALSE	FALSE
epiccsocialwork		TRUE	FALSE	FALSE
episodechooseyourstory		TRUE	FALSE	FALSE
epitaphrecords		TRUE	FALSE	FALSE
estimize		TRUE	FALSE	FALSE
ethandesu		TRUE	FALSE	FALSE
explore-blog		TRUE	FALSE	FALSE
expressions-of-nature		TRUE	FALSE	FALSE
extihnction		TRUE	FALSE	FALSE
fakescience		TRUE	FALSE	FALSE
fandom		TRUE	FALSE	FALSE
farmweather		TRUE	FALSE	FALSE
fashion		TRUE	FALSE	FALSE
fightingborderline		TRUE	FALSE	FALSE
finn-wilkie		TRUE	FALSE	FALSE
firstbook		TRUE	FALSE	FALSE
floggerblogger		TRUE	FALSE	FALSE
flonyc		TRUE	FALSE	FALSE
floorcharts		TRUE	FALSE	FALSE
floridamemory		TRUE	FALSE	FALSE
flowerbomb-borderline		TRUE	FALSE	FALSE
foodffs		TRUE	FALSE	FALSE
forbes		TRUE	FALSE	FALSE
forgottenfeeelings		TRUE	FALSE	FALSE
forsythiahill		TRUE	FALSE	FALSE
foundingfatherfest		TRUE	FALSE	FALSE
foxeia		TRUE	FALSE	FALSE
fuckyeahfluiddynamics		TRUE	FALSE	FALSE
fuckyeahhistorycrushes		TRUE	FALSE	FALSE
fuckyeahillustrativeart		TRUE	FALSE	FALSE
fuckyeahinteriordesigns		TRUE	FALSE	FALSE
fuckyeahuglycars		TRUE	FALSE	FALSE
fuckyeahvintage-retro		TRUE	FALSE	FALSE
fueledbyramen		TRUE	FALSE	FALSE
garageprojectmotorcycles		TRUE	FALSE	FALSE
gashetka		TRUE	FALSE	FALSE
ghoulnextdoor		TRUE	FALSE	FALSE
giphy		TRUE	FALSE	FALSE
givology		TRUE	FALSE	FALSE
gnvhealth		TRUE	FALSE	FALSE
gobigorgohome2016		TRUE	FALSE	FALSE
godsofgotham		TRUE	FALSE	FALSE
goldenfiddle		TRUE	FALSE	FALSE
goneland		TRUE	FALSE	FALSE
gosh		TRUE	FALSE	FALSE
gpfhddl2		TRUE	FALSE	FALSE
gpfhddl3		TRUE	FALSE	FALSE
gpfhddl5		TRUE	FALSE	FALSE
gravityhome		TRUE	FALSE	FALSE
greentype		TRUE	FALSE	FALSE
grupaok		TRUE	FALSE	FALSE
guy		TRUE	FALSE	FALSE
harmed		TRUE	FALSE	FALSE
harmreduction		TRUE	FALSE	FALSE
harpersbazaar		TRUE	FALSE	FALSE
harvardbusinessschool		TRUE	FALSE	FALSE
hatin		TRUE	FALSE	FALSE
heart		TRUE	FALSE	FALSE
hel-looks		TRUE	FALSE	FALSE
helloyoucreatives		TRUE	FALSE	FALSE
heyteebs		TRUE	FALSE	FALSE
highcountrynews		TRUE	FALSE	FALSE
hijerking		TRUE	FALSE	FALSE
hipopatia		TRUE	FALSE	FALSE
hipsiong		TRUE	FALSE	FALSE
hipster-animals		TRUE	FALSE	FALSE
historicity-was-already-taken		TRUE	FALSE	FALSE
hitrecordjoe		TRUE	FALSE	FALSE
holysoul		TRUE	FALSE	FALSE
hongkonghiraeth		TRUE	FALSE	FALSE
hopordrawing		TRUE	FALSE	FALSE
hotboyproblems		TRUE	FALSE	FALSE
houndmouth		TRUE	FALSE	FALSE
housingworksbookstore		TRUE	FALSE	FALSE
howitzerliterarysociety		TRUE	FALSE	FALSE
humansofnewyork		TRUE	FALSE	FALSE
humorstaff		TRUE	FALSE	FALSE
hydeordie		TRUE	FALSE	FALSE
i-am-a-fish		TRUE	FALSE	FALSE
iammattcohen4real		TRUE	FALSE	FALSE
iamyoustudio		TRUE	FALSE	FALSE
idolsgeneration		TRUE	FALSE	FALSE
iglovequotes		TRUE	FALSE	FALSE
iheartmoosiq		TRUE	FALSE	FALSE
iifays		TRUE	FALSE	FALSE
ikimaru		TRUE	FALSE	FALSE
iloveligatures		TRUE	FALSE	FALSE
iloveyou		TRUE	FALSE	FALSE
imagineyouricon		TRUE	FALSE	FALSE
imdownunder		TRUE	FALSE	FALSE
imjennifergrey		TRUE	FALSE	FALSE
in-the-horniman		TRUE	FALSE	FALSE
infinity-imagined		TRUE	FALSE	FALSE
infoddf		TRUE	FALSE	FALSE
infosnack		TRUE	FALSE	FALSE
inkpug		TRUE	FALSE	FALSE
intercity-timelord		TRUE	FALSE	FALSE
interiordesignmagazine		TRUE	FALSE	FALSE
isaac		TRUE	FALSE	FALSE
isomorphismes		TRUE	FALSE	FALSE
itgetsbetterproject		TRUE	FALSE	FALSE
itsconsumingme		TRUE	FALSE	FALSE
itsfullofstars		TRUE	FALSE	FALSE
jamesmoran		TRUE	FALSE	FALSE
japanesefashionlovers		TRUE	FALSE	FALSE
jaredsinclair		TRUE	FALSE	FALSE
jaunepastel		TRUE	FALSE	FALSE
jaymacphotography		TRUE	FALSE	FALSE
jeffhirsch		TRUE	FALSE	FALSE
jillianpilates		TRUE	FALSE	FALSE
jockino		TRUE	FALSE	FALSE
johnnydeb		TRUE	FALSE	FALSE
joneswumovie		TRUE	FALSE	FALSE
joshkeaton		TRUE	FALSE	FALSE
joshpeck		TRUE	FALSE	FALSE
joshuamalina		TRUE	FALSE	FALSE
just-shower-thoughts		TRUE	FALSE	FALSE
justbadpuns		TRUE	FALSE	FALSE
jyunc-cihli		TRUE	FALSE	FALSE
kassirer		TRUE	FALSE	FALSE
katewalsh		TRUE	FALSE	FALSE
katimorton		TRUE	FALSE	FALSE
kiev0530		TRUE	FALSE	FALSE
kindnessmusic		TRUE	FALSE	FALSE
kushandwizdom		TRUE	FALSE	FALSE
lalawu29		TRUE	FALSE	FALSE
langleav		TRUE	FALSE	FALSE
larrywilmore		TRUE	FALSE	FALSE
laughingatmynightmare		TRUE	FALSE	FALSE
life		TRUE	FALSE	FALSE
lifeisstrange-blog		TRUE	FALSE	FALSE
lindafarrow		TRUE	FALSE	FALSE
losangeleslovesyou		TRUE	FALSE	FALSE
losingweightinthecity		TRUE	FALSE	FALSE
love		TRUE	FALSE	FALSE
love-personal		TRUE	FALSE	FALSE
lovely-c-universe		TRUE	FALSE	FALSE
lqdpr		TRUE	FALSE	FALSE
lsleofskye		TRUE	FALSE	FALSE
lulufrost		TRUE	FALSE	FALSE
lvl3		TRUE	FALSE	FALSE
lwttd		TRUE	FALSE	FALSE
lynseygrosfield		TRUE	FALSE	FALSE
madeinhexels		TRUE	FALSE	FALSE
madsweat		TRUE	FALSE	FALSE
maggie-stiefvater		TRUE	FALSE	FALSE
manda		TRUE	FALSE	FALSE
manvchild		TRUE	FALSE	FALSE
markiplier		TRUE	FALSE	FALSE
marvelentertainment		TRUE	FALSE	FALSE
matthiasheiderich		TRUE	FALSE	FALSE
maxrudberg		TRUE	FALSE	FALSE
mediamattersforamerica		TRUE	FALSE	FALSE
medresearch		TRUE	FALSE	FALSE
melisica		TRUE	FALSE	FALSE
meninthistown		TRUE	FALSE	FALSE
metalinjection		TRUE	FALSE	FALSE
michellelue0703		TRUE	FALSE	FALSE
michiganengineering		TRUE	FALSE	FALSE
miisteros		TRUE	FALSE	FALSE
milkstudios		TRUE	FALSE	FALSE
momateens		TRUE	FALSE	FALSE
monsieurjerome		TRUE	FALSE	FALSE
montereybayaquarium		TRUE	FALSE	FALSE
moonlightcafe		TRUE	FALSE	FALSE
mosaicrecords		TRUE	FALSE	FALSE
mothernaturenetwork		TRUE	FALSE	FALSE
motoriginal		TRUE	FALSE	FALSE
mrodofficial		TRUE	FALSE	FALSE
mtaartsdesign		TRUE	FALSE	FALSE
murketing		TRUE	FALSE	FALSE
murooned		TRUE	FALSE	FALSE
myfrogcroaked		TRUE	FALSE	FALSE
mykidsgay		TRUE	FALSE	FALSE
mypubliclands		TRUE	FALSE	FALSE
nakedly		TRUE	FALSE	FALSE
nansmsm212		TRUE	FALSE	FALSE
nasa		TRUE	FALSE	FALSE
nationalservice		TRUE	FALSE	FALSE
ncpssm		TRUE	FALSE	FALSE
neckkiss		TRUE	FALSE	FALSE
neurosciencestuff		TRUE	FALSE	FALSE
neuroticdream		TRUE	FALSE	FALSE
nevver		TRUE	FALSE	FALSE
newsweekscience		TRUE	FALSE	FALSE
newyorkersunposed		TRUE	FALSE	FALSE
nicetype		TRUE	FALSE	FALSE
nickanimation		TRUE	FALSE	FALSE
nickkroll		TRUE	FALSE	FALSE
nkfustbookstore		TRUE	FALSE	FALSE
nkustbookstore		TRUE	FALSE	FALSE
no-chill-blog		TRUE	FALSE	FALSE
normanbuckley		TRUE	FALSE	FALSE
novafrenchie		TRUE	FALSE	FALSE
