id	idCustom	reasonAdvertisement	reasonBilk	reasonSpam
468155068131180545	andy122007#9474	FALSE	FALSE	TRUE
472894638274117632	Rach#6969	FALSE	FALSE	TRUE
474215833598558209	IslandLine#1234	FALSE	FALSE	TRUE
478798237839523851	AbiUoo#5560	FALSE	FALSE	TRUE
486822180064329741	Technixally#8766	FALSE	FALSE	TRUE
487338182203932675	Michael-Mick#0424	FALSE	FALSE	TRUE
487363259075264512	40vippDev#5288	FALSE	FALSE	TRUE
489543709143072769	finm356#2928	FALSE	FALSE	TRUE
490679689090826260	fexpresstrain#0729	FALSE	FALSE	TRUE
492689266888015882	ItzTurciozz#8401	FALSE	FALSE	TRUE
499903090980421633	Yakov86#4018	FALSE	FALSE	TRUE
504355867496284189	\u271d\u2b55\ud83d\udde3F_S_K \ud83d\udd1b\ud83d\udd1d\u271d#9425	FALSE	FALSE	TRUE
511576979355729940	Human#0242	FALSE	FALSE	TRUE
515897978976993300	Jailbreak#2227	FALSE	FALSE	TRUE
517430415376515074	yoshiuki#7627	FALSE	FALSE	TRUE
518100616669560844	nagi#5330	FALSE	FALSE	TRUE
520552860019064852	DeathGod_HK#4341	FALSE	FALSE	TRUE
520882295176036363	Samson#0602	FALSE	FALSE	TRUE
521255952272588810	SaladZero#3498	FALSE	FALSE	TRUE
523869920233127937	zewowewo#8908	FALSE	FALSE	TRUE
525649724045393921	Supeoy#0619	FALSE	FALSE	TRUE
526727763030310945	Jamesgamer12314#0601	FALSE	FALSE	TRUE
530029518761492490	MrG#0423	FALSE	FALSE	TRUE
531400518589743105	Alkali_Metal#9379	FALSE	FALSE	TRUE
535212652717146113	xBuilderjack#7517	FALSE	FALSE	TRUE
536761751694344193	Cc_LemonQween#3211	FALSE	FALSE	TRUE
537966622359420928	Transperth4567#2314	FALSE	FALSE	TRUE
538038558020075520	notmyname5670#0183	FALSE	FALSE	TRUE
542389838171734018	that one brit#4807	FALSE	FALSE	TRUE
544359870472781835	\ud835\udd08\ud835\udd2a\ud835\udd26#4047	FALSE	FALSE	TRUE
545182116326146059	variouxical..#0407	FALSE	FALSE	TRUE
547813386558242816	SwaggyCat_Discord#4975	FALSE	FALSE	TRUE
548712479887327288	uwuowonwnumu#6783	FALSE	FALSE	TRUE
552513334059073556	Dan Alexa#2934	FALSE	FALSE	TRUE
556913127917223967	hahahah im a pacer *choo coo*#6744	FALSE	FALSE	TRUE
557052941287161906	Tom J 82043#8609	FALSE	FALSE	TRUE
559079139580051486	JeffEveningstar#6356	FALSE	FALSE	TRUE
559310147189604352	Oli 2008#6742	FALSE	FALSE	TRUE
561917822121541682	NotMarshtomp#6384	FALSE	FALSE	TRUE
562919281696833546	thechawait#5305	FALSE	FALSE	TRUE
563944401433395204	LRS09/60031/fat u#7380	FALSE	FALSE	TRUE
569173629783375952	Pencile YT#2213	FALSE	FALSE	TRUE
572383794477269003	! Zeck#0007	FALSE	FALSE	TRUE
574013440830472212	\u1d0f\u0274\u028fx|Keito#3194	FALSE	FALSE	TRUE
577517841939431424	ThePurpleCone#6363	FALSE	FALSE	TRUE
580055704690229248	Finny#5125	FALSE	FALSE	TRUE
580325854639423488	TrainLovers10#1098	FALSE	FALSE	TRUE
587458361277022218	HondoFlauntxyn#8644	FALSE	FALSE	TRUE
590101221864505344	Nipsu#6102	FALSE	FALSE	TRUE
596409744902848543	K0#7156	FALSE	FALSE	TRUE
603977812038123521	ELITE_LP#8766	FALSE	FALSE	TRUE
604611612430827523	brutely#0329	FALSE	FALSE	TRUE
608951548495659041	Jackmiller195#4849	FALSE	FALSE	TRUE
609825446657523722	NickMrLongName#9698	FALSE	FALSE	TRUE
610056746232184832	clementleeroblox#9611	FALSE	FALSE	TRUE
610795328727285806	fbvzwvgi545tz#5103	FALSE	FALSE	TRUE
619198991443296257	flashvert#7120	FALSE	FALSE	TRUE
622410433013481473	BCTrains#7447	FALSE	FALSE	TRUE
625882268287893574	haisheng#6073	FALSE	FALSE	TRUE
632582151254310922	\u77f3\u982dSTONE#9129	FALSE	FALSE	TRUE
644830732505841684	dogeminerbois213#0531	FALSE	FALSE	TRUE
645797282968502272	YodaBusGuyRBLX#8977	FALSE	FALSE	TRUE
659299139393421327	\u7eff\u8336#1856	FALSE	FALSE	TRUE
668171126362603570	stikman#9384	FALSE	FALSE	TRUE
671289926167429120	MinecrafterDam4#2567	FALSE	FALSE	TRUE
675055934996742205	Bot_Man50#6442	FALSE	FALSE	TRUE
690146956676431939	sultanas#2382	FALSE	FALSE	TRUE
696761161550397521	MIhai#0431	FALSE	FALSE	TRUE
697092149052964925	MrMcaaron#0541	FALSE	FALSE	TRUE
700618237330718762	RAZZOR#8529	FALSE	FALSE	TRUE
715539496543977534	Gameplay_TV238#1197	FALSE	FALSE	TRUE
717917190984171541	Axel_Thebest#1388	FALSE	FALSE	TRUE
722041955055566948	marybs#7360	FALSE	FALSE	TRUE
723830010510704640	kingjoshua0930#2311	FALSE	FALSE	TRUE
