idNumber	idName	accountType	reasonHacker	reasonSpam
	longerchan	user	TRUE	FALSE
	looperBig	user	TRUE	FALSE
	LouisianaAnn	user	TRUE	FALSE
	loveleyou	user	TRUE	FALSE
	maiduodrag	user	TRUE	FALSE
	makecsser	user	TRUE	FALSE
	maozhengmingx	user	TRUE	FALSE
	MasaakiMorishita	user	TRUE	FALSE
	mawang7	user	TRUE	FALSE
	MaximRichard66	user	TRUE	FALSE
	mayuanyang	user	TRUE	FALSE
	MBpudi	user	TRUE	FALSE
	mchgood	user	TRUE	FALSE
	mdesi	user	TRUE	FALSE
	meifangGG	user	TRUE	FALSE
	MEMBERFRIEND	user	TRUE	FALSE
	MengLeiGitHub	user	TRUE	FALSE
	miniscrt	user	TRUE	FALSE
	mirsfang	user	TRUE	FALSE
	MobileL	user	TRUE	FALSE
	mojinstanly	user	TRUE	FALSE
	Mononster	user	TRUE	FALSE
	morelunn	user	TRUE	FALSE
	MQTimor	user	TRUE	FALSE
	MrJiao	user	TRUE	FALSE
	mrlitong	user	TRUE	FALSE
	naivecoderman	user	TRUE	FALSE
	nanbudongba	user	TRUE	FALSE
	ncbx002	user	TRUE	FALSE
	niaogedd	user	TRUE	FALSE
	nijgth	user	TRUE	FALSE
	nkn151	user	TRUE	FALSE
	nomoere	user	TRUE	FALSE
	nongaduo	user	TRUE	FALSE
	Oceanliao2	user	TRUE	FALSE
	ohrenziehen	user	TRUE	FALSE
	onlyhom	user	TRUE	FALSE
	Oooobe	user	TRUE	FALSE
	origincnrer	user	TRUE	FALSE
	oriso	user	TRUE	FALSE
	Pamgo	user	TRUE	FALSE
	PCXPY	user	TRUE	FALSE
	pepalpigge	user	TRUE	FALSE
	philchia	user	TRUE	FALSE
	phizzler	user	TRUE	FALSE
	PineMizune	user	TRUE	FALSE
	pjt57364413	user	TRUE	FALSE
	printfstar	user	TRUE	FALSE
	propandan	user	TRUE	FALSE
	puerfeifei	user	TRUE	FALSE
	python19900812	user	TRUE	FALSE
	qiangruohan	user	TRUE	FALSE
	qianzhangg	user	TRUE	FALSE
	qiyidemeng	user	TRUE	FALSE
	qunaerr	user	TRUE	FALSE
	rafPiv	user	TRUE	FALSE
	RayhoWong	user	TRUE	FALSE
	ReenStick	user	TRUE	FALSE
	renxuelong	user	TRUE	FALSE
	repython	user	TRUE	FALSE
	re-thinker	user	TRUE	FALSE
	richadeding	user	TRUE	FALSE
	robinandjava	user	TRUE	FALSE
	RobinLower	user	TRUE	FALSE
	rockrapman	user	TRUE	FALSE
	s710182306	user	TRUE	FALSE
	Sbdoing	user	TRUE	FALSE
	seamounts	user	TRUE	FALSE
	seawind8888	user	TRUE	FALSE
	serchcome	user	TRUE	FALSE
	sharesunny	user	TRUE	FALSE
	shb695	user	TRUE	FALSE
	shereweiste	user	TRUE	FALSE
	shilpi1390	user	TRUE	FALSE
	shixianxian	user	TRUE	FALSE
	sinolecode	user	TRUE	FALSE
	skuijiha	user	TRUE	FALSE
	soliano	user	TRUE	FALSE
	songhaoreact	user	TRUE	FALSE
	Sonxiatiy	user	TRUE	FALSE
	strongruohan	user	TRUE	FALSE
	summer1914	user	TRUE	FALSE
	summerHearts	user	TRUE	FALSE
	sunjinshuai	user	TRUE	FALSE
	takeaball	user	TRUE	FALSE
